node,xx,yy
Gondola,0.715720701437,0.512966462705
Sorgo,0.611517188558,0.56089763754
Poza,0.250882978867,0.850453817131
Ragnina,0.0794615547861,0.674275462647
Basilio,1.0,0.307473238091
Babalio,0.867023005581,0.678508810582
Zamagna,0.572491083333,0.672798023092
Prodanelo,0.0,0.399054357017
Tudisio,0.700363201716,0.0
Bucchia,0.141680619807,0.123041170352
Palmota,0.815697297612,0.895012562626
Bocignolo,0.635029834345,0.890341948216
Georgio,0.291274607255,0.65890211058
Saraca,0.386475296992,0.976042178443
Resti,0.271486175467,0.41835101254
Bona,0.482816690417,0.591982907569
Goze,0.417976754945,0.51695360101
Gradi,0.694179151207,0.317353129518
Menze,0.595756886295,0.309934946235
Benessa,0.442775524477,0.796397277392
Caboga,0.235968008112,0.273270057518
Lucari,0.468561407265,0.311933153663
Crieva,0.531254855356,0.414910642708
Proculo,0.888020695082,0.123315207783
