node,xx,yy
A,0.411967907399,0.0102075517256
C,0.648330430584,0.025829977172
B,0.527500245286,0.0
E,0.319013423778,0.200314065628
D,0.595227093152,0.235887692447
G,0.177504546453,0.514708377267
F,0.657551759483,0.700777436221
I,0.0297065341786,0.330298272181
H,0.0376485942966,0.479966445517
K,0.0479489928472,0.743727392852
J,0.163988241,0.820390234576
M,0.471302682172,0.99603611306
L,0.0,0.604067539825
O,0.928266211513,0.705776723121
N,0.742569130516,0.941631193214
Q,0.998058120492,0.590622628377
P,0.908514724099,0.799256358437
R,1.0,0.471628359043
