node,xx,yy
Strozzi,0.861741949227,0.774161469739
Tornabuoni,0.639707298299,0.28078124492
Medici,0.321333523217,0.374122268572
Albizzi,0.492648418859,0.0219513282934
Ginori,0.12840217367,0.0782089527712
Pazzi,0.0852610381808,0.783555552899
Acciaiuoli,0.263093609776,0.0
Bischeri,1.0,0.591581061503
Peruzzi,0.793664913413,0.892189697861
Salviati,0.0,0.5452605598
Castellani,0.57164010934,0.945019810981
Lamberteschi,0.832147100927,0.0668711796782
Ridolfi,0.622841577979,0.545323867142
Guadagni,0.898578248621,0.223797273648
Barbadori,0.301822940051,0.829287046997
