node,xx,yy
A,0.743057917432,0.898059692454
C,0.969257221235,0.627920383141
B,0.868079154536,0.736730134605
E,0.795534600273,0.643312800229
D,0.968449634075,0.496670689409
G,0.548897697799,0.867251911698
F,0.923260788508,0.368534451916
I,0.682508128991,0.403849357931
H,0.616593969728,0.56049883197
K,0.294693870082,0.382034318891
J,0.319269388562,0.27348449722
M,0.145691640857,0.126638821614
L,0.170568858758,0.441602476543
O,0.0890969284419,0.21344492135
N,0.0,0.401186425244
Q,0.588179204643,0.0
P,0.0235947421939,0.291849488255
R,0.412169324338,1.0
